"Field 0","Points:0","Points:1","Points:2"
nan,551210,5044800,863
nan,551210,5044800,854.9730225
nan,551210,5044800,846.9459839
nan,551210,5044800,838.9190063
nan,551210,5044800,830.8920288
nan,551210,5044800,822.8649902
nan,551210,5044800,814.8380127
nan,551210,5044800,806.8109741
nan,551210,5044800,798.7839966
nan,551210,5044800,790.757019
nan,551210,5044800,782.7299805
nan,551210,5044800,774.7030029
nan,551210,5044800,766.6760254
nan,551210,5044800,758.6489868
nan,551210,5044800,750.6220093
nan,551210,5044800,742.5949707
nan,551210,5044800,734.5679932
nan,551210,5044800,726.5410156
nan,551210,5044800,718.5139771
nan,551210,5044800,710.4869995
nan,551210,5044800,702.460022
nan,551210,5044800,694.4329834
nan,551210,5044800,686.4060059
nan,551210,5044800,678.3790283
nan,551210,5044800,670.3519897
nan,551210,5044800,662.3250122
nan,551210,5044800,654.2979736
nan,551210,5044800,646.2709961
nan,551210,5044800,638.2440186
nan,551210,5044800,630.21698
nan,551210,5044800,622.1900024
nan,551210,5044800,614.1630249
nan,551210,5044800,606.1359863
nan,551210,5044800,598.1090088
nan,551210,5044800,590.0819702
nan,551210,5044800,582.0549927
nan,551210,5044800,574.0280151
nan,551210,5044800,566.0009766
nan,551210,5044800,557.973999
nan,551210,5044800,549.9470215
nan,551210,5044800,541.9199829
nan,551210,5044800,533.8930054
nan,551210,5044800,525.8660278
nan,551210,5044800,517.8389893
nan,551210,5044800,509.8120117
nan,551210,5044800,501.7850037
nan,551210,5044800,493.7579956
nan,551210,5044800,485.7309875
nan,551210,5044800,477.70401
nan,551210,5044800,469.677002
nan,551210,5044800,461.6499939
nan,551210,5044800,453.6229858
nan,551210,5044800,445.5960083
nan,551210,5044800,437.5690002
nan,551210,5044800,429.5419922
nan,551210,5044800,421.5150146
nan,551210,5044800,413.4880066
nan,551210,5044800,405.4609985
nan,551210,5044800,397.4339905
nan,551210,5044800,389.4070129
nan,551210,5044800,381.3800049
nan,551210,5044800,373.3529968
nan,551210,5044800,365.3259888
nan,551210,5044800,357.2990112
nan,551210,5044800,349.2720032
nan,551210,5044800,341.2449951
11.66,551210,5044800,333.2179871
11.66,551210,5044800,325.1910095
11.66,551210,5044800,317.1640015
11.66,551210,5044800,309.1369934
11.66,551210,5044800,301.1099854
11.66,551210,5044800,293.0830078
11.66,551210,5044800,285.0559998
11.66,551210,5044800,277.0289917
11.66,551210,5044800,269.0020142
11.66,551210,5044800,260.9750061
11.66,551210,5044800,252.947998
11.66,551210,5044800,244.9210052
11.66,551210,5044800,236.8939972
11.66,551210,5044800,228.8670044
11.66,551210,5044800,220.8399963
11.66,551210,5044800,212.8130035
11.66,551210,5044800,204.7859955
