"Field 0","Points:0","Points:1","Points:2"
nan,477560,5014200,863
nan,477560,5014200,854.9730225
nan,477560,5014200,846.9459839
nan,477560,5014200,838.9190063
nan,477560,5014200,830.8920288
nan,477560,5014200,822.8649902
nan,477560,5014200,814.8380127
nan,477560,5014200,806.8109741
nan,477560,5014200,798.7839966
nan,477560,5014200,790.757019
nan,477560,5014200,782.7299805
nan,477560,5014200,774.7030029
nan,477560,5014200,766.6760254
nan,477560,5014200,758.6489868
nan,477560,5014200,750.6220093
nan,477560,5014200,742.5949707
nan,477560,5014200,734.5679932
nan,477560,5014200,726.5410156
nan,477560,5014200,718.5139771
nan,477560,5014200,710.4869995
nan,477560,5014200,702.460022
nan,477560,5014200,694.4329834
nan,477560,5014200,686.4060059
nan,477560,5014200,678.3790283
nan,477560,5014200,670.3519897
nan,477560,5014200,662.3250122
nan,477560,5014200,654.2979736
nan,477560,5014200,646.2709961
nan,477560,5014200,638.2440186
nan,477560,5014200,630.21698
nan,477560,5014200,622.1900024
nan,477560,5014200,614.1630249
nan,477560,5014200,606.1359863
nan,477560,5014200,598.1090088
nan,477560,5014200,590.0819702
nan,477560,5014200,582.0549927
nan,477560,5014200,574.0280151
nan,477560,5014200,566.0009766
nan,477560,5014200,557.973999
nan,477560,5014200,549.9470215
nan,477560,5014200,541.9199829
nan,477560,5014200,533.8930054
nan,477560,5014200,525.8660278
nan,477560,5014200,517.8389893
nan,477560,5014200,509.8120117
nan,477560,5014200,501.7850037
nan,477560,5014200,493.7579956
nan,477560,5014200,485.7309875
nan,477560,5014200,477.70401
nan,477560,5014200,469.677002
nan,477560,5014200,461.6499939
nan,477560,5014200,453.6229858
nan,477560,5014200,445.5960083
nan,477560,5014200,437.5690002
nan,477560,5014200,429.5419922
nan,477560,5014200,421.5150146
nan,477560,5014200,413.4880066
nan,477560,5014200,405.4609985
nan,477560,5014200,397.4339905
nan,477560,5014200,389.4070129
nan,477560,5014200,381.3800049
nan,477560,5014200,373.3529968
nan,477560,5014200,365.3259888
