"Field 0","Points:0","Points:1","Points:2"
nan,544090,5038600,863
nan,544090,5038600,854.9730225
nan,544090,5038600,846.9459839
nan,544090,5038600,838.9190063
nan,544090,5038600,830.8920288
nan,544090,5038600,822.8649902
nan,544090,5038600,814.8380127
nan,544090,5038600,806.8109741
nan,544090,5038600,798.7839966
nan,544090,5038600,790.757019
nan,544090,5038600,782.7299805
nan,544090,5038600,774.7030029
nan,544090,5038600,766.6760254
nan,544090,5038600,758.6489868
nan,544090,5038600,750.6220093
nan,544090,5038600,742.5949707
nan,544090,5038600,734.5679932
nan,544090,5038600,726.5410156
nan,544090,5038600,718.5139771
nan,544090,5038600,710.4869995
nan,544090,5038600,702.460022
nan,544090,5038600,694.4329834
nan,544090,5038600,686.4060059
nan,544090,5038600,678.3790283
nan,544090,5038600,670.3519897
nan,544090,5038600,662.3250122
nan,544090,5038600,654.2979736
nan,544090,5038600,646.2709961
nan,544090,5038600,638.2440186
nan,544090,5038600,630.21698
nan,544090,5038600,622.1900024
nan,544090,5038600,614.1630249
nan,544090,5038600,606.1359863
nan,544090,5038600,598.1090088
nan,544090,5038600,590.0819702
nan,544090,5038600,582.0549927
nan,544090,5038600,574.0280151
nan,544090,5038600,566.0009766
nan,544090,5038600,557.973999
nan,544090,5038600,549.9470215
nan,544090,5038600,541.9199829
nan,544090,5038600,533.8930054
nan,544090,5038600,525.8660278
nan,544090,5038600,517.8389893
nan,544090,5038600,509.8120117
nan,544090,5038600,501.7850037
nan,544090,5038600,493.7579956
nan,544090,5038600,485.7309875
nan,544090,5038600,477.70401
nan,544090,5038600,469.677002
nan,544090,5038600,461.6499939
nan,544090,5038600,453.6229858
nan,544090,5038600,445.5960083
nan,544090,5038600,437.5690002
nan,544090,5038600,429.5419922
nan,544090,5038600,421.5150146
nan,544090,5038600,413.4880066
nan,544090,5038600,405.4609985
nan,544090,5038600,397.4339905
nan,544090,5038600,389.4070129
nan,544090,5038600,381.3800049
nan,544090,5038600,373.3529968
nan,544090,5038600,365.3259888
nan,544090,5038600,357.2990112
nan,544090,5038600,349.2720032
nan,544090,5038600,341.2449951
11.96,544090,5038600,333.2179871
11.96,544090,5038600,325.1910095
11.96,544090,5038600,317.1640015
11.96,544090,5038600,309.1369934
11.96,544090,5038600,301.1099854
11.96,544090,5038600,293.0830078
11.96,544090,5038600,285.0559998
11.96,544090,5038600,277.0289917
11.96,544090,5038600,269.0020142
