Field 0,Points:0,Points:1,Points:2
11.62,544090,5038600,333.2179871
11.62,544090,5038600,325.1910095
11.62,544090,5038600,317.1640015
11.62,544090,5038600,309.1369934
11.62,544090,5038600,301.1099854
11.62,544090,5038600,293.0830078
11.62,544090,5038600,285.0559998
11.62,544090,5038600,277.0289917
11.62,544090,5038600,269.0020142
11.62,544090,5038600,260.9750061
11.62,544090,5038600,252.947998
11.62,544090,5038600,244.9210052
11.62,544090,5038600,236.8939972
11.62,544090,5038600,228.8670044
11.62,544090,5038600,220.8399963
11.62,544090,5038600,212.8130035
11.62,544090,5038600,204.7859955
11.62,544090,5038600,196.7590027
11.62,544090,5038600,188.7319946
11.62,544090,5038600,180.7050018
11.62,544090,5038600,172.6779938
11.62,544090,5038600,164.651001
11.62,544090,5038600,156.6239929
11.62,544090,5038600,148.5970001
11.62,544090,5038600,140.5700073
11.62,544090,5038600,132.5429993
11.62,544090,5038600,124.5159988
11.62,544090,5038600,116.4889984
11.62,544090,5038600,108.461998
11.62,544090,5038600,100.4349976
11.62,544090,5038600,92.40799713
11.62,544090,5038600,84.3809967
11.62,544090,5038600,76.35399628
11.62,544090,5038600,68.32700348
11.62,544090,5038600,60.29999924
11.62,544090,5038600,52.27299881
11.62,544090,5038600,44.24599838
11.62,544090,5038600,36.21900177
11.62,544090,5038600,28.19199944
11.62,544090,5038600,20.16500092
11.62,544090,5038600,12.13799953
11.62,544090,5038600,4.111000061
11.62,544090,5038600,-3.915999889
11.62,544090,5038600,-11.94299984
11.62,544090,5038600,-19.96999931
11.62,544090,5038600,-27.99699974
11.62,544090,5038600,-36.02399826
11.62,544090,5038600,-44.05099869
11.62,544090,5038600,-52.07799911
11.62,544090,5038600,-60.10499954
11.62,544090,5038600,-68.13200378
11.62,544090,5038600,-76.15899658
11.62,544090,5038600,-84.18599701
11.62,544090,5038600,-92.21299744
11.62,544090,5038600,-100.2399979
11.62,544090,5038600,-108.2669983
11.62,544090,5038600,-116.2939987
11.62,544090,5038600,-124.3209991
11.62,544090,5038600,-132.3480072
11.62,544090,5038600,-140.375
11.62,544090,5038600,-148.4019928
11.62,544090,5038600,-156.4290009
18.66,544090,5038600,-164.4559937
18.66,544090,5038600,-172.4830017
18.66,544090,5038600,-180.5099945
18.66,544090,5038600,-188.5370026
