east;north;height;T_CORR
;;; 
R+;R+;D;R
;;; 
x_coordinate;y_coordinate;depth;temperature
;;; 
570596.8876885;5056738.25912611;-1176.7;53
542583.91426365;5032163.75705704;-1650.2;57
481536.19849357;5043000.93147857;-3909.85;111
577377.52191656;5050285.01010031;-1711.53;67
543855.76949398;5037072.08402409;-2227.7;89
544210.06657017;5038918.86855734;-2375.5;86
403880.07220331;4959662.86283188;-1287.5;54
564208.36807085;4983517.60695089;-1476.1;44
540069.77704964;5032724.95711101;-911.15;44
385455.71810512;4956442.06913609;-1746.7;55
616306.20485205;4974986.3752803;-2015.8;46
481812.09769729;5041222.54643197;-2946.6;92
627093.53719138;4964122.99884147;-2971;73
532705.00438653;4991365.96775925;-1219.6;52
388992.83705355;4951257.71369486;-1211.15;47
438864.44777309;4979276.86404208;-1108.6;48
518692.3719103;4956783.68420553;-334;57
572937.90661841;4922263.94868978;-169.8;69
548512.49055089;4970425.66764587;-1599.1;58
446246.97337843;5017428.21816352;-2286.15;77
483454.50398283;5033252.29792465;-3629;96
479243.719992;5036775.47729611;-3292;101
501645.32351521;5020643.66843176;-3071;88
504354.60230181;5022944.6063506;-2822;77
412730.95031628;4995279.8357078;-876.7;44
499139.04738723;4969064.69503034;-1534.2;56
501982.05580866;4970697.89353573;-1506.55;59
517629.52445059;5000560.23656799;-2330;79
585562.9422528;4982856.97419825;-2234.9;74
626448.61215107;4945774.57899554;-901.7;47
630058.3002404;4947713.14466427;-1843.55;52
580858.43400258;4982073.49983652;-994.8;40
534301.27591965;5069154.69450787;-1297.4;69
469918.92512529;5065633.04110525;-2026.2;58
574071.32644516;5042955.91296622;-2832.95;75
565144.07762551;5037890.18719024;-2973;85
553919.79799556;5018096.24785601;-918;41
510262.25666247;5016707.96403304;-2884.1;82
405980.86353008;5010220.96843936;-861.4;40
530000.64280808;5007294.4526708;-1457.6;51
453936.25050294;5010779.32750021;-1580.6;51
530835.00734236;5000399.54476308;-1108.35;48
562052.27528244;5025714.91979951;-994.65;47
453670.40447205;5003393.28761655;-988.35;46
473069.85724248;4994438.37416682;-1465.6;74
551410.05589652;5038384.87104027;-3168.6;76
515158.40758478;5008441.37160803;-3324.4;91
596290.92679182;4947143.65346609;-1611;54
591252.63025739;4950225.85086409;-1101.52;54
596032.81080534;4948506.41325248;-2346.6;71
606080.15408593;4939074.83712443;-1050.65;48
612040.07252038;4941953.05407856;-1985.25;63
593215.53761564;4943243.22873235;-1240;60
600803.01950329;4942512.63379492;-1511.5;56
589100.92082707;5015516.67823732;-2514.85;82
590432.32742927;5019491.30776337;-2021.7;72
582933.9798597;5019255.02966412;-1682.55;52
576209.98668506;5004148.45602824;-1094.6;41
487535.59901587;5040841.93423269;-1206.5;40
528556.82253996;5045094.15039663;-2150;84
505467.8430386;5012624.88411686;-3244.6;85
578287.59836642;4962076.45027339;-1967.75;59
571003.18718538;4979934.33227852;-1874.7;56
581784.9827226;4987907.24116242;-1276.65;54
426074.59426327;5027465.23361095;-1627.5;84
434461.89459247;5035327.67950236;-1559;71
459140.469038;5044740.13864229;-1295;56
629382.2811708;4927930.572133;-672;49
631572.98467868;4937564.62553664;-1049.7;49
629243.68416885;5009697.25484707;-1469.5;38
597695.63761776;5035856.58885077;-1055.4;53
620605.03986423;4913550.126973;-228;54
601734.96238113;5025397.24462205;-3194.15;78
506540.50951767;5037255.62499915;-2253.5;78
511434.36637897;5044650.63990539;-809.3;38
599342.97162948;4998101.49275595;-1942.45;60
508186.60138375;4984755.26763454;-1063.4;47
577906.58516698;5016313.2486605;-1422.25;48
536415.39174072;5029069.77908645;-1470.65;53
574382.80316899;5033137.27485715;-1499.75;51
559317.19355562;5028477.30971206;-1090;49
526650.88890113;5038119.80506312;-1270.6;59
537241.65842433;5015009.60527273;-1413.7;48
564756.22109248;5001699.17160108;-1105.15;41
485470.13137973;4956706.29585824;-1583.2;50
447930.39324269;5007637.32349425;-1056.65;39
544087.48853251;5038573.58840274;-2881;90
551209.31637925;5044782.87145157;-2558.8;78
540929.04546545;5013565.9146598;-1067.65;48
545880.15544709;5012288.92871321;-1107.3;44
570596.8876885;5056738.25912611;-2125.7;66
481536.19849357;5043000.93147857;-5101.65;153
577377.52191656;5050285.01010031;-3075.03;93
543855.76949398;5037072.08402409;-2815;91
403880.07220331;4959662.86283188;-2593.45;87
564208.36807085;4983517.60695089;-1782.8;54
540069.77704964;5032724.95711101;-1329.15;47
385455.71810512;4956442.06913609;-2827.7;94
616306.20485205;4974986.3752803;-3350.5;75
481812.09769729;5041222.54643197;-4261.77;120
627093.53719138;4964122.99884147;-4930;97
532705.00438653;4991365.96775925;-1244.15;55
388992.83705355;4951257.71369486;-1243.6;48
438864.44777309;4979276.86404208;-1251.3;51
518692.3719103;4956783.68420553;-1374;78
572937.90661841;4922263.94868978;-2018.4;88
548512.49055089;4970425.66764587;-2264.6;73
446246.97337843;5017428.21816352;-2682.4;79
483454.50398283;5033252.29792465;-5291;151
479243.719992;5036775.47729611;-4514;140
501645.32351521;5020643.66843176;-3108;91
504354.60230181;5022944.6063506;-4258;116
499139.04738723;4969064.69503034;-2079.2;61
517629.52445059;5000560.23656799;-3607;98
585562.9422528;4982856.97419825;-3154.5;75
626448.61215107;4945774.57899554;-1193.7;50
580858.43400258;4982073.49983652;-1144.8;43
534301.27591965;5069154.69450787;-2944.4;82
469918.92512529;5065633.04110525;-2857.2;80
574071.32644516;5042955.91296622;-3856.95;93
565144.07762551;5037890.18719024;-4379;117
553919.79799556;5018096.24785601;-1264;52
510262.25666247;5016707.96403304;-3276.1;99
405980.86353008;5010220.96843936;-1876.4;60
453936.25050294;5010779.32750021;-3240.6;82
562052.27528244;5025714.91979951;-1049.65;55
453670.40447205;5003393.28761655;-2196.35;68
473069.85724248;4994438.37416682;-3125.9;95
551410.05589652;5038384.87104027;-5932.6;142
515158.40758478;5008441.37160803;-4873;123
591252.63025739;4950225.85086409;-1677.47;64
596032.81080534;4948506.41325248;-2871.4;80
593215.53761564;4943243.22873235;-1942;74
589100.92082707;5015516.67823732;-2759.85;85
590432.32742927;5019491.30776337;-2255.7;81
582933.9798597;5019255.02966412;-1952.05;58
576209.98668506;5004148.45602824;-1303.6;44
487535.59901587;5040841.93423269;-2173.5;69
528556.82253996;5045094.15039663;-3240;101
505467.8430386;5012624.88411686;-4404.6;111
578287.59836642;4962076.45027339;-3036.75;89
571003.18718538;4979934.33227852;-1951.7;58
581784.9827226;4987907.24116242;-2634.65;69
629382.2811708;4927930.572133;-1166.7;55
